ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	n_DE_KOs	contrast
ko:K15639	ko:K15639	2/561	11/59114	0.00467194925388411	0.0190045393378336	2	SC_vs_ST_up
ko:K22440	ko:K22440	2/561	11/59114	0.00467194925388411	0.0190045393378336	2	SC_vs_ST_up
ko:K16040	ko:K16040	3/312	67/59114	0.00543622478060103	0.0190422691076991	3	RC_vs_RT_up
ko:K00815	ko:K00815	2/312	21/59114	0.00545723565891376	0.0190422691076991	2	RC_vs_RT_up
ko:K14641	ko:K14641	2/312	21/59114	0.00545723565891376	0.0190422691076991	2	RC_vs_RT_up
ko:K14638	ko:K14638	1/6	192/59114	0.0193310250970483	0.0193310250970483	1	interaction_resistant
ko:K09646	ko:K09646	2/312	23/59114	0.00652916062902941	0.0218527008808331	2	RC_vs_RT_up
ko:K10664	ko:K10664	2/312	23/59114	0.00652916062902941	0.0218527008808331	2	RC_vs_RT_up
ko:K06901	ko:K06901	2/561	12/59114	0.00557124398063614	0.0222849759225446	2	SC_vs_ST_up
ko:K00387	ko:K00387	2/312	25/59114	0.00768854465183532	0.0252184264580199	2	RC_vs_RT_up
ko:K11817	ko:K11817	2/561	13/59114	0.00654301379346963	0.0253277953295599	2	SC_vs_ST_up
ko:K20989	ko:K20989	2/561	13/59114	0.00654301379346963	0.0253277953295599	2	SC_vs_ST_up
ko:K01904	ko:K01904	2/312	26/59114	0.00830042374110772	0.0261782594911859	2	RC_vs_RT_up
ko:K20802	ko:K20802	2/312	26/59114	0.00830042374110772	0.0261782594911859	2	RC_vs_RT_up
ko:K16075	ko:K16075	2/312	27/59114	0.00893343941727926	0.0271311863784037	2	RC_vs_RT_up
ko:K18693	ko:K18693	2/312	27/59114	0.00893343941727926	0.0271311863784037	2	RC_vs_RT_up
ko:K01785	ko:K01785	2/312	29/59114	0.010261927715911	0.0305992026438074	2	RC_vs_RT_up
ko:K08695	ko:K08695	3/561	45/59114	0.00897751198966999	0.0342000456749333	3	SC_vs_ST_up
ko:K01193	ko:K01193	2/312	32/59114	0.0124072795020567	0.0356981375146893	2	RC_vs_RT_up
ko:K01610	ko:K01610	2/312	32/59114	0.0124072795020567	0.0356981375146893	2	RC_vs_RT_up
ko:K20619	ko:K20619	2/561	16/59114	0.00987876228641344	0.0370453585740504	2	SC_vs_ST_up
ko:K14487	ko:K14487	2/312	33/59114	0.0131621689709239	0.0372171674350262	2	RC_vs_RT_up
ko:K09753	ko:K09753	3/561	47/59114	0.0101168426819726	0.0373544960565141	3	SC_vs_ST_up
ko:K00454	ko:K00454	2/561	17/59114	0.0111261246151447	0.039854774740817	2	SC_vs_ST_up
ko:K14802	ko:K14802	2/561	17/59114	0.0111261246151447	0.039854774740817	2	SC_vs_ST_up
ko:K00029	ko:K00029	2/312	35/59114	0.0147302391206705	0.040945071454067	2	RC_vs_RT_up
ko:K07198	ko:K07198	3/312	98/59114	0.0153189840563908	0.041871889754135	3	RC_vs_RT_up
ko:K22439	ko:K22439	2/561	18/59114	0.012438910831014	0.0439020382271084	2	SC_vs_ST_up
ko:K01255	ko:K01255	2/561	19/59114	0.0138157714137251	0.0473683591327716	2	SC_vs_ST_up
ko:K12338	ko:K12338	2/561	19/59114	0.0138157714137251	0.0473683591327716	2	SC_vs_ST_up
